Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
1400,63,2,2,1,1,0,0,0,0,Penha,rent,22.22222222222222,"(-23.532156, -46.549314)",Pública,0.1886758407550772
2200,70,3,2,1,2,0,0,1,0,Penha,rent,31.428571428571427,"(-23.522395, -46.528109)",Privada,0.43841152928908456
1200,61,2,2,1,1,0,0,0,0,Penha,rent,19.672131147540984,"(-23.52053, -46.543759)",Privada,0.0141038530126481
1600,49,2,2,1,1,0,0,0,0,Penha,rent,32.6530612244898,"(-23.523964, -46.541442)",Privada,0.2569586806613401
2500,75,3,2,1,2,0,0,0,0,Penha,rent,33.333333333333336,"(-23.555303, -46.45341)",Privada,0.13615205114872747
1200,63,3,2,1,1,0,0,1,0,Penha,rent,19.047619047619047,"(-23.528045, -46.578424)",Pública,0.45361064207246254
2000,50,2,2,1,2,1,0,1,0,Penha,rent,40.0,"(-23.529508, -46.537387)",Pública,0.6517814519153383
1100,47,2,2,1,1,1,0,0,0,Penha,rent,23.404255319148938,"(-23.519276, -46.553581)",Pública,0.1863005969771556
1500,68,3,2,1,1,0,0,0,0,Penha,rent,22.058823529411764,"(-23.523405, -46.532214)",Privada,0.2908554934196277
2500,110,2,2,1,2,0,0,0,0,Penha,rent,22.727272727272727,"(-23.524837, -46.53328)",Privada,0.29829610133769163
1400,75,3,2,1,1,0,0,0,0,Penha,rent,18.666666666666668,"(-23.519453, -46.537759)",Privada,0.19380437945818485
1700,53,2,2,1,1,0,0,0,0,Penha,rent,32.075471698113205,"(-23.555303, -46.45341)",Privada,0.13615205114872747
1600,54,2,2,1,1,0,0,1,0,Penha,rent,29.62962962962963,"(-23.531859, -46.549121)",Pública,0.1884960558778883
1500,78,2,2,1,1,1,0,0,0,Penha,rent,19.23076923076923,"(-23.524889, -46.544575)",Privada,0.4806677074868091
2000,68,2,2,1,1,1,0,1,0,Penha,rent,29.41176470588235,"(-23.532156, -46.549314)",Pública,0.1886758407550772
900,50,2,2,1,1,0,0,0,0,Penha,rent,18.0,"(-23.513075, -46.536491)",Privada,0.20083426896993786
1300,84,2,2,1,1,1,0,0,0,Penha,rent,15.476190476190476,"(-23.529413, -46.540249)",Pública,0.6927667917880669
1100,54,2,2,1,1,0,0,1,0,Penha,rent,20.37037037037037,"(-23.522028, -46.538495)",Privada,0.20117606136826616
1500,70,3,2,1,1,0,0,0,0,Penha,rent,21.428571428571427,"(-23.522244, -46.550598)",Privada,0.11155958112852479
