Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
189001,37,2,2,1,1,1,0,1,0,Liberdade,sale,5108.135135135135,"(-23.554012, -46.630526)",Privada,0.19035733019869844
189003,37,2,2,1,1,1,0,1,0,Liberdade,sale,5108.189189189189,"(-23.554012, -46.630526)",Privada,0.19035733019869844
125000,32,1,2,1,1,1,0,0,0,Liberdade,sale,3906.25,"(-23.552245, -46.628108)",Privada,0.22264804272500274
165000,50,1,2,1,1,0,0,0,0,Liberdade,sale,3300.0,"(-23.552786, -46.627518)",Privada,0.1744924577114518
899000,75,2,2,1,1,1,1,0,0,Liberdade,sale,11986.666666666666,"(-23.564262, -46.639887)",Pública,0.36074834349100476
199000,37,2,2,1,1,1,0,1,0,Liberdade,sale,5378.378378378378,"(-23.554012, -46.630526)",Privada,0.19035733019869844
210000,34,1,2,1,1,1,0,1,0,Liberdade,sale,6176.470588235294,"(-23.553501, -46.628189)",Privada,0.08353748303101359
500000,60,2,2,1,1,0,0,0,0,Liberdade,sale,8333.333333333334,"(-23.559339, -46.623384)",Privada,0.3569196968353328
189002,37,2,2,1,1,1,0,1,0,Liberdade,sale,5108.1621621621625,"(-23.554012, -46.630526)",Privada,0.19035733019869844
200000,34,1,2,1,1,0,0,1,0,Liberdade,sale,5882.35294117647,"(-23.553501, -46.628189)",Privada,0.08353748303101359
225000,37,1,2,1,1,1,0,1,0,Liberdade,sale,6081.081081081081,"(-23.555276, -46.628691)",Pública,0.04803351580500753
635792,66,2,2,1,1,0,0,0,0,Liberdade,sale,9633.212121212122,"(-23.562139, -46.634816)",Privada,0.25489394752907
189000,37,2,2,1,1,1,0,1,0,Liberdade,sale,5108.108108108108,"(-23.554289, -46.630816)",Privada,0.22356850425956448
