,Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
5115,2400000,178,3,4,3,3,1,0,1,0,Brooklin,sale,13483.14606741573,"(0.0, 0.0)",Privada,26.75857604338459
5116,3200000,226,4,5,4,4,0,0,1,0,Brooklin,sale,14159.29203539823,"(-23.614159, -46.6883148)",Privada,0.3834419014293431
5117,1550000,158,4,4,3,3,0,0,1,0,Brooklin,sale,9810.12658227848,"(-23.6113553, -46.6804634)",Privada,0.07959248049686467
5118,885000,72,2,2,1,2,0,0,1,0,Brooklin,sale,12291.666666666666,"(-23.6140789, -46.6886764)",Privada,0.3732111897759695
5119,1350000,170,4,4,3,2,0,0,1,0,Brooklin,sale,7941.176470588235,"(-23.6220498, -46.6808683)",Privada,0.040885932635057534
5120,1800000,196,4,3,2,3,0,0,0,0,Brooklin,sale,9183.673469387755,"(-23.6109539, -46.6809188)",Privada,0.14150712960114195
5121,2660000,150,3,4,3,3,0,1,1,0,Brooklin,sale,17733.333333333332,"(-23.6210099, -46.6956445)",Privada,0.6870546007969368
5122,800000,95,3,3,2,2,0,0,1,0,Brooklin,sale,8421.052631578947,"(-23.6113228, -46.6894447)",Privada,0.11434273940265913
5123,1700000,121,2,2,1,2,0,0,1,0,Brooklin,sale,14049.586776859504,"(-23.6208425, -46.6845247)",Privada,0.25326841649452575
5124,1400000,96,2,3,2,2,0,1,1,0,Brooklin,sale,14583.333333333334,"(-23.6143711, -46.6893436)",Privada,0.41384356752279844
5125,3600000,238,4,4,3,4,0,0,1,0,Brooklin,sale,15126.050420168067,"(-23.6096077, -46.6930127)",Pública,0.35424127507726366
5126,980000,115,3,2,1,1,1,0,0,0,Brooklin,sale,8521.739130434782,"(-23.6126951, -46.6786961)",Privada,0.07715084942938243
5127,1290000,187,3,2,1,2,0,0,0,0,Brooklin,sale,6898.395721925133,"(-23.6125211, -46.6793587)",Privada,0.03889064214619657
5128,2100000,148,3,4,3,2,0,0,1,0,Brooklin,sale,14189.18918918919,"(-23.6025998, -46.6946954)",Privada,0.41014827876269305
5129,1900000,134,3,4,3,3,0,0,1,0,Brooklin,sale,14179.10447761194,"(-23.6208425, -46.6845247)",Privada,0.25326841649452575
5130,960000,75,2,2,1,1,0,0,0,0,Brooklin,sale,12800.0,"(-23.6040517, -46.6948844)",Privada,0.4976590904444499
5131,2400000,198,4,4,3,1,0,0,1,0,Brooklin,sale,12121.212121212122,"(-23.6112939, -46.6801293)",Privada,0.045842124757012465
5132,1050000,119,3,2,1,2,1,0,0,0,Brooklin,sale,8823.529411764706,"(-23.6237686, -46.6870456)",Privada,0.10000818795167185
5133,1950000,172,3,4,3,3,1,0,1,0,Brooklin,sale,11337.209302325582,"(-23.620077, -46.6847506)",Privada,0.31282470439255744
5134,3600000,236,4,4,3,4,0,0,1,0,Brooklin,sale,15254.237288135593,"(-23.6096077, -46.6930127)",Pública,0.35424127507726366
5135,530000,49,1,2,1,1,0,0,0,0,Brooklin,sale,10816.326530612245,"(-23.6176824, -46.6949631)",Privada,0.8268811441939683
5136,530000,49,1,2,1,1,0,0,0,0,Brooklin,sale,10816.326530612245,"(-23.6176824, -46.6949631)",Privada,0.8268811441939683
5137,1200000,77,1,2,1,2,0,1,1,0,Brooklin,sale,15584.415584415585,"(-23.6121056, -46.6811751)",Privada,0.12013479713390761
5138,1500000,140,3,2,1,3,0,0,1,0,Brooklin,sale,10714.285714285714,"(-23.6106241, -46.6813139)",Privada,0.19725197934606511
